Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_HRS_Action_Build_FernShelter,Build Fern Shelter,Build Fern Shelter,Build Fern Shelter,Build Fern Shelter,Построить боковое убежище,Build Fern Shelter,Build Fern Shelter,Build Fern Shelter,Build Fern Shelter,Construire Abri de fougères,Build Fern Shelter,Build Fern Shelter,Fazer abrigo de folhas,Build Fern Shelter
STR_HRS_Action_Craft_Axe,Craft Handmade Axe,Craft Handmade Axe,Craft Handmade Axe,handgemachte Axt herstellen,Собрать самодельный топор,Craft Handmade Axe,Craft Handmade Axe,Craft Handmade Axe,Fabricar hacha.,Créer une hache improvisée,Craft Handmade Axe,Craft Handmade Axe,Fazer machado improvisado,Craft Handmade Axe
STR_HRS_Action_Craft_Axe_Blade,Craft Axe Blade,Craft Axe Blade,Craft Axe Blade,Axtschneide herstellen,Сделать лезвие топора,Craft Axe Blade,Craft Axe Blade,Craft Axe Blade,Fabricar filo de hacha,Créer une lame de hache,Craft Axe Blade,Craft Axe Blade,Fazer lâmina de machado,Craft Axe Blade
STR_HRS_Action_Craft_Axe_Handle,Craft Axe Handle,Craft Axe Handle,Craft Axe Handle,Axtstiel herstellen,Сделать рукоять для топора,Craft Axe Handle,Craft Axe Handle,Craft Axe Handle,Fabricar mango de hacha,Créer un manche de hache,Craft Axe Handle,Craft Axe Handle,Fazer cabo de machado,Craft Axe Handle
STR_HRS_Action_Craft_BarbedWire,Craft Barbed Wire,Craft Barbed Wire,Craft Barbed Wire,Stacheldraht herstellen,Сделать колючую проволоку,Craft Barbed Wire,Craft Barbed Wire,Craft Barbed Wire,Fabricar Alambre de espino,Créer un fil barbelé,Craft Barbed Wire,Craft Barbed Wire,Fazer arame farpado,Craft Barbed Wire
STR_HRS_Action_Craft_BoltArrow,Craft Handmade Bolt,Craft Handmade Bolt,Craft Handmade Bolt,handgemachter Bolzen herstellen,Сделать арбалетный болт,Craft Handmade Bolt,Craft Handmade Bolt,Craft Handmade Bolt,Crear Virotes,Créer une flèche d’arbalète,Craft Handmade Bolt,Craft Handmade Bolt,Fazer setas artesanais,Craft Handmade Bolt
STR_HRS_Action_Craft_BurlapSack,Craft Burlap Sack,Craft Burlap Sack,Craft Burlap Sack,Craft Burlap Sack,Craft Burlap Sack,Craft Burlap Sack,Craft Burlap Sack,Craft Burlap Sack,Craft Burlap Sack,Crée un sac en toile de jute,Craft Burlap Sack,Craft Burlap Sack,Craft Burlap Sack,Craft Burlap Sack
STR_HRS_Action_Craft_BurlapTarp,Craft Burlap Tarp,Craft Burlap Tarp,Craft Burlap Tarp,Jutezelt herstellen,Сделать тент из мешковины,Craft Burlap Tarp,Craft Burlap Tarp,Craft Burlap Tarp,Fabricar Lona de yute,Créer une toile de jute,Craft Burlap Tarp,Craft Burlap Tarp,Fazer lona de estopa,Craft Burlap Tarp
STR_HRS_Action_Craft_BurlapTent_Kit,Craft Burlap Tent Kit,Craft Burlap Tent Kit,Craft Burlap Tent Kit,Jutezelt-Set herstellen,Cделать набор для установки тента,Craft Burlap Tent Kit,Craft Burlap Tent Kit,Craft Burlap Tent Kit,Fabricar tienda de yute,Créer un kit tente en jute,Craft Burlap Tent Kit,Craft Burlap Tent Kit,Fazer Kit abrigo de lona ,Craft Burlap Tent Kit
STR_HRS_Action_Craft_CamoTent_Kit,Craft Camo Tent Kit,Craft Camo Tent Kit,Craft Camo Tent Kit,Tarnzelt-Set herstellen,Сделать набор для установки тента,Craft Camo Tent Kit,Craft Camo Tent Kit,Craft Camo Tent Kit,Crear Kit de tienda de campaña camuflada,Créer un kit tente camouflée,Craft Camo Tent Kit,Craft Camo Tent Kit,Fazer Kit abrigo camuflado,Craft Camo Tent Kit
STR_HRS_Action_Craft_Crossbow,Craft Handmade Crossbow,Craft Handmade Crossbow,Craft Handmade Crossbow,handgemachte Armbrust herstellen,Собрать самодельный арбалет,Craft Handmade Crossbow,Craft Handmade Crossbow,Craft Handmade Crossbow,Crear Ballesta Artesanal,Créer une arbalète artisanale,Craft Handmade Crossbow,Craft Handmade Crossbow,Fazer besta artesanal,Craft Handmade Crossbow
STR_HRS_Action_Craft_Crossbow_Body,Craft Crossbow Body,Craft Crossbow Body,Craft Crossbow Body,Armbrustkörper herstellen,Сделать тело арбалета,Craft Crossbow Body,Craft Crossbow Body,Craft Crossbow Body,Crear Cuerpo de Ballesta,Créer un corps d’arbalète,Craft Crossbow Body,Craft Crossbow Body,Fazer corpo de besta,Craft Crossbow Body
STR_HRS_Action_Craft_Crossbow_Head,Craft Crossbow Mecanic Part,Craft Crossbow Mecanic Part,Craft Crossbow Mecanic Part,Armbrustmechanik herstellen,Сделать механизм арбалета,Craft Crossbow Mecanic Part,Craft Crossbow Mecanic Part,Craft Crossbow Mecanic Part,Crear Pieza Mecánica de Ballesta,Créer un mécanisme d’arbalète,Craft Crossbow Mecanic Part,Craft Crossbow Mecanic Part,Fazer parte mecânica de crossbow,Craft Crossbow Mecanic Part
STR_HRS_Action_Craft_Crossbow_MetalParts,Craft Crossbow Metal Parts,Craft Crossbow Metal Parts,Craft Crossbow Metal Parts,Armbrust Metallteile herstellen,Сделать металлические части арбалета,Craft Crossbow Metal Parts,Craft Crossbow Metal Parts,Craft Crossbow Metal Parts,Crear Piezas metálicas de ballesta,Créer un chassis d’arbalète,Craft Crossbow Metal Parts,Craft Crossbow Metal Parts,Fazer arranjo metálico da crossbow,Craft Crossbow Metal Parts
STR_HRS_Action_Craft_FatBlock,Craft Fat Block,Craft Fat Block,Craft Fat Block,Craft Fat Block,Вырезать заготовку из жира,Craft Fat Block,Craft Fat Block,Craft Fat Block,Craft Fat Block,Découper un bloc de graisse,Craft Fat Block,Craft Fat Block,Fazer bloco de gordura,Craft Fat Block
STR_HRS_Action_Craft_FernGhillie_Bushrag,Craft Ghillie Shrug,Craft Ghillie Shrug,Craft Ghillie Shrug,Ghillieüberwurf herstellen,Сделать маскировочную накидку,Craft Ghillie Shrug,Craft Ghillie Shrug,Craft Ghillie Shrug,Crear Hombreras Ghillie,Créer un Cache-col ghillie,Craft Ghillie Shrug,Craft Ghillie Shrug,Fazer ombros de Ghillie,Craft Ghillie Shrug
STR_HRS_Action_Craft_FernGhillie_GunWrap,Craft Ghillie Rifle Wrap,Craft Ghillie Rifle Wrap,Craft Ghillie Rifle Wrap,Gewehrghillie herstellen,Сделать маскировку для оружия,Craft Ghillie Rifle Wrap,Craft Ghillie Rifle Wrap,Craft Ghillie Rifle Wrap,Crear Camuflaje de Fusil,Créer un Cache-fusil ghillie,Craft Ghillie Rifle Wrap,Craft Ghillie Rifle Wrap,Fazer Ghillie para fuzil,Craft Ghillie Rifle Wrap
STR_HRS_Action_Craft_FernGhillie_Hood,Craft Ghillie Hood,Craft Ghillie Hood,Craft Ghillie Hood,Ghilliehaube herstellen,Сделать маскировочный капюшон,Craft Ghillie Hood,Craft Ghillie Hood,Craft Ghillie Hood,Crear Capucha Ghillie,Créer une Capuche de ghillie,Craft Ghillie Hood,Craft Ghillie Hood,Fazer capuz de Ghillie ,Craft Ghillie Hood
STR_HRS_Action_Craft_FernGhillie_Suit,Craft Ghillie Suit,Craft Ghillie Suit,Craft Ghillie Suit,Ghillieanzug herstellen,Сделать маскировочный костюм,Craft Ghillie Suit,Craft Ghillie Suit,Craft Ghillie Suit,Crear Traje Ghillie,Créer une Tenue de ghillie,Craft Ghillie Suit,Craft Ghillie Suit,Fazer corpo de Ghillie,Craft Ghillie Suit
STR_HRS_Action_Craft_FernGhillie_Top,Craft Ghillie Cloak,Craft Ghillie Cloak,Craft Ghillie Cloak,Ghilliemantel herstellen,Сделать маскировочный плащ,Craft Ghillie Cloak,Craft Ghillie Cloak,Craft Ghillie Cloak,Crear Capa Ghillie,Créer un Haut de ghillie,Craft Ghillie Cloak,Craft Ghillie Cloak,Fazer costas de Ghillie,Craft Ghillie Cloak
STR_HRS_Action_Craft_FernPart,Craft Fern Parts,Craft Fern Parts,Craft Fern Parts,Craft Fern Parts,Нарезать папоротник на части,Craft Fern Parts,Craft Fern Parts,Craft Fern Parts,Craft Fern Parts,Crée des morceaux de fougères,Craft Fern Parts,Craft Fern Parts,Cortar samambaia em partes,Craft Fern Parts
STR_HRS_Action_Craft_Fertilizer,Craft Fertilizer Bag,Craft Fertilizer Bag,Craft Fertilizer Bag,Craft Fertilizer Bag,Craft Fertilizer Bag,Craft Fertilizer Bag,Craft Fertilizer Bag,Craft Fertilizer Bag,Craft Fertilizer Bag,Créer un sac d'engrais artisanal,Craft Fertilizer Bag,Craft Fertilizer Bag,Craft Fertilizer Bag,Craft Fertilizer Bag
STR_HRS_Action_Craft_FireStart_Kit,Craft FireStart Kit,Craft FireStart Kit,Craft FireStart Kit,Craft FireStart Kit,Сделать набор для розжига,Craft FireStart Kit,Craft FireStart Kit,Craft FireStart Kit,Craft FireStart Kit,Créer un kit allume-feu,Craft FireStart Kit,Craft FireStart Kit,Fazer Kit para acender fogueira,Craft FireStart Kit
STR_HRS_Action_Craft_FireStartKit,Craft Primitive Firekit,Craft Primitive Firekit,Craft Primitive Firekit,Craft Primitive Firekit,Сделать примитивный набор для розжига,Craft Primitive Firekit,Craft Primitive Firekit,Craft Primitive Firekit,Craft Primitive Firekit,Créer un kit-feu improvisé,Craft Primitive Firekit,Craft Primitive Firekit,Fazer Kit primitivo para fogueira,Craft Primitive Firekit
STR_HRS_Action_Craft_Hammer,Craft Handmade Hammer,Craft Handmade Hammer,Craft Handmade Hammer,handgemachter Hammer herstellen,Собрать самодельный молоток,Craft Handmade Hammer,Craft Handmade Hammer,Craft Handmade Hammer,Fabricar Martillo.,Créer un marteau improvisé,Craft Handmade Hammer,Craft Handmade Hammer,Fazer martelo improvisado,Craft Handmade Hammer
STR_HRS_Action_Craft_Hammer_Handle,Craft Hammer Handle,Craft Hammer Handle,Craft Hammer Handle,Hammerstiel herstellen,Сделать рукоять для молотка,Craft Hammer Handle,Craft Hammer Handle,Craft Hammer Handle,Fabricar mango de Martillo,Créer un manche de marteau,Craft Hammer Handle,Craft Hammer Handle,Fazer cabo de martelo,Craft Hammer Handle
STR_HRS_Action_Craft_Hammer_Head,Craft Hammer Head,Craft Hammer Head,Craft Hammer Head,Hammerkopf herstellen,Сделать голову молотка,Craft Hammer Head,Craft Hammer Head,Craft Hammer Head,Fabricar Cabeza de Martillo,Créer une tête de marteau,Craft Hammer Head,Craft Hammer Head,Fazer cabeça de martelo,Craft Hammer Head
STR_HRS_Action_Craft_Handsaw,Craft Handmade Handsaw,Craft Handmade Handsaw,Craft Handmade Handsaw,handgemachte Säge herstellen,Собрать самодельную пилу,Craft Handmade Handsaw,Craft Handmade Handsaw,Craft Handmade Handsaw,Fabricar Sierra,Créer une scie improvisée,Craft Handmade Handsaw,Craft Handmade Handsaw,Fazer serra improvisada,Craft Handmade Handsaw
STR_HRS_Action_Craft_Handsaw_Blade,Craft Handsaw Blade,Craft Handsaw Blade,Craft Handsaw Blade,Sägeblatt herstellen,Сделать полотно для самодельной пилы,Craft Handsaw Blade,Craft Handsaw Blade,Craft Handsaw Blade,Fabricar hoja de sierra,Créer une lame de scie,Craft Handsaw Blade,Craft Handsaw Blade,Fazer lâmina de serra,Craft Handsaw Blade
STR_HRS_Action_Craft_Handsaw_Handle,Craft Handsaw Handle,Craft Handsaw Handle,Craft Handsaw Handle,Sägegriff herstellen,Сделать раму самодельной пилы,Craft Handsaw Handle,Craft Handsaw Handle,Craft Handsaw Handle,Fabricar mango de sierra,Créer un cadre de scie,Craft Handsaw Handle,Craft Handsaw Handle,Fazer sustento da serra,Craft Handsaw Handle
STR_HRS_Action_Craft_Hatchet,Craft Handmade Hatchet,Craft Handmade Hatchet,Craft Handmade Hatchet,handgemachtes Beil herstellen,Собрать самодельный топорик,Craft Handmade Hatchet,Craft Handmade Hatchet,Craft Handmade Hatchet,Fabricar hachuela,Créer une hachette improvisée,Craft Handmade Hatchet,Craft Handmade Hatchet,Fazer machadinho improvisado,Craft Handmade Hatchet
STR_HRS_Action_Craft_Hatchet_Blade,Craft Hatchet Blade,Craft Hatchet Blade,Craft Hatchet Blade,Beilklinge herstellen,Сделать лезвие топорика,Craft Hatchet Blade,Craft Hatchet Blade,Craft Hatchet Blade,Fabricar hoja de hachuela,Créer une lame de hachette,Craft Hatchet Blade,Craft Hatchet Blade,Fazer lâmina de machadinho,Craft Hatchet Blade
STR_HRS_Action_Craft_Hatchet_Handle,Craft Hatchet Handle,Craft Hatchet Handle,Craft Hatchet Handle,Beilgriff herstellen,Сделать рукоять для топорика,Craft Hatchet Handle,Craft Hatchet Handle,Craft Hatchet Handle,Fabricar mango de hachuela,Créer un manche de hachette,Craft Hatchet Handle,Craft Hatchet Handle,Fazer cabo de machadinho,Craft Hatchet Handle
STR_HRS_Action_Craft_Knife,Craft Handmade Knife,Craft Handmade Knife,Craft Handmade Knife,handgemachtes Messer herstellen,Собрать самодельный нож,Craft Handmade Knife,Craft Handmade Knife,Craft Handmade Knife,Fabricar cuchillo,Créer un couteau improvisé,Craft Handmade Knife,Craft Handmade Knife,Fazer faca improvisada,Craft Handmade Knife
STR_HRS_Action_Craft_Knife_Blade,Craft Knife Blade,Craft Knife Blade,Craft Knife Blade,Messerklinge herstellen,Сделать лезвие ножа,Craft Knife Blade,Craft Knife Blade,Craft Knife Blade,Fabricar Hoja de Cuchillo,Créer une lame de couteau,Craft Knife Blade,Craft Knife Blade,Fazer lâmina de faca,Craft Knife Blade
STR_HRS_Action_Craft_Knife_Handle,Craft Knife Handle,Craft Knife Handle,Craft Knife Handle,Messergriff herstellen,Сделать рукоять для ножа,Craft Knife Handle,Craft Knife Handle,Craft Knife Handle,Fabricar Mango de Cuchillo,Créer un manche de couteau,Craft Knife Handle,Craft Knife Handle,Fazer cabo de faca,Craft Knife Handle
STR_HRS_Action_Craft_MeleeRopeSling,Craft Rope Melee Sling,Craft Rope Melee Sling,Craft Rope Melee Sling,Craft Rope Melee Sling,Craft Rope Melee Sling,Craft Rope Melee Sling,Craft Rope Melee Sling,Craft Rope Melee Sling,Craft Rope Melee Sling,Créer une sangle mélée en corde,Craft Rope Melee Sling,Craft Rope Melee Sling,Craft Rope Melee Sling,Craft Rope Melee Sling
STR_HRS_Action_Craft_MetalPlate,Craft Metal Sheet,Craft Metal Sheet,Craft Metal Sheet,Metallblech herstellen,Сделать лист металла,Craft Metal Sheet,Craft Metal Sheet,Craft Metal Sheet,Fabricar Hoja de Metal,Créer une tôle de métal,Craft Metal Sheet,Craft Metal Sheet,Fazer chapa de metal,Craft Metal Sheet
STR_HRS_Action_Craft_MetalWire,Craft Metal Wire,Craft Metal Wire,Craft Metal Wire,Metalldraht herstellen,Сделать проволоку,Craft Metal Wire,Craft Metal Wire,Craft Metal Wire,Fabricar Cable Metalico,Créer un cable métalique,Craft Metal Wire,Craft Metal Wire,Fazer fio de metal,Craft Metal Wire
STR_HRS_Action_Craft_Nails,Craft Nails,Craft Nails,Craft Nails,Nägel herstellen,Сделать гвозди,Craft Nails,Craft Nails,Craft Nails,Fabricar Clavos,Créer des clous,Craft Nails,Craft Nails,Fazer pregos,Craft Nails
STR_HRS_Action_Craft_Pickaxe,Craft Handmade Pickaxe,Craft Handmade Pickaxe,Craft Handmade Pickaxe,handgemachte Spitzhacke herstellen,Собрать самодельную кирку,Craft Handmade Pickaxe,Craft Handmade Pickaxe,Craft Handmade Pickaxe,Fabricar Pico,Créer une pioche improvisée,Craft Handmade Pickaxe,Craft Handmade Pickaxe,Fazer picareta improvisada,Craft Handmade Pickaxe
STR_HRS_Action_Craft_Pickaxe_Handle,Craft Pickaxe Handle,Craft Pickaxe Handle,Craft Pickaxe Handle,Spitzhackenstiel herstellen,Сделать рукоять для кирки,Craft Pickaxe Handle,Craft Pickaxe Handle,Craft Pickaxe Handle,Fabricar mango de pico,Créer un manche de pioche,Craft Pickaxe Handle,Craft Pickaxe Handle,Fazer cabo de picareta,Craft Pickaxe Handle
STR_HRS_Action_Craft_Pickaxe_Head,Craft Pickaxe Head,Craft Pickaxe Head,Craft Pickaxe Head,Spitzhackenkopf herstellen,Сделать лезвие кирки,Craft Pickaxe Head,Craft Pickaxe Head,Craft Pickaxe Head,Fabricar cabeza de pico,Créer une tête de pioche,Craft Pickaxe Head,Craft Pickaxe Head,Fazer cabeça de picareta,Craft Pickaxe Head
STR_HRS_Action_Craft_Pliers,Craft Handmade Pliers,Craft Handmade Pliers,Craft Handmade Pliers,handgemachte Zange herstellen,Сделать грубые плосскогубцы,Craft Handmade Pliers,Craft Handmade Pliers,Craft Handmade Pliers,Fabricar alicates,Créer des pinces improvisées,Craft Handmade Pliers,Craft Handmade Pliers,Fazer alicate improvisado,Craft Handmade Pliers
STR_HRS_Action_Craft_RopeSling,Craft Rope Rifle Sling,Craft Rope Rifle Sling,Craft Rope Rifle Sling,Gewehrschlinge herstellen,Сделать ремень для оружия,Craft Rope Rifle Sling,Craft Rope Rifle Sling,Craft Rope Rifle Sling,Crear Portafusil de cuerda,Créer une sangle en corde,Craft Rope Rifle Sling,Craft Rope Rifle Sling,Fazer bandoleira improvisada,Craft Rope Rifle Sling
STR_HRS_Action_Craft_ScrapMetal,Craft Scrap Metal,Craft Scrap Metal,Craft Scrap Metal,Schrott herstellen,Получить металлический мусор,Craft Scrap Metal,Craft Scrap Metal,Craft Scrap Metal,Fabricar Chatarra,Créer des morceaux de métal,Craft Scrap Metal,Craft Scrap Metal,Fazer sucata,Craft Scrap Metal
STR_HRS_Action_Craft_Shorty12,Craft Shorty .12,Craft Shorty .12,Craft Shorty .12,Shorty .12 herstellen,Собрать самодельный дробовик,Craft Shorty .12,Craft Shorty .12,Craft Shorty .12,Crear Shorty .12,Créer Shorty .12,Craft Shorty .12,Craft Shorty .12,Fazer escopeta curta,Craft Shorty .12
STR_HRS_Action_Craft_Shorty12_Barrel,Craft Shorty .12 Barrel,Craft Shorty .12 Barrel,Craft Shorty .12 Barrel,Shorty .12 Lauf herstellen,Сделать стволы для дробовика,Craft Shorty .12 Barrel,Craft Shorty .12 Barrel,Craft Shorty .12 Barrel,Crear Cañón Shorty .12,Créer un canon de Shorty .12,Craft Shorty .12 Barrel,Craft Shorty .12 Barrel,Fazer canos da escopeta,Craft Shorty .12 Barrel
