Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
AMMUNITIONS,,,,,,,,,,,,,,
STR_AMMO_RecurvedBow0,Composite Arrow,Composite Arrow,Composite Arrow,Composite Pfeil,Составная стрела,Composite Arrow,Composite Arrow,Composite Arrow,Flecha Compuesta,Flêche Composite,Composite Arrow,Composite Arrow,Composite Arrow,Composite Arrow
STR_AMMO_RecurvedBow1,Some arrow for the Recurved Bow.,Some arrow for the Recurved Bow.,Some arrow for the Recurved Bow.,Ein paar Pfeile für einen Recurved-Bogen.,Стрелы для лука.,Some arrow for the Recurved Bow.,Some arrow for the Recurved Bow.,Some arrow for the Recurved Bow.,Unas flechas para el Arco Recurvado.,Quelques flêches pour l'arc courbe.,Some arrow for the Recurved Bow.,Some arrow for the Recurved Bow.,Some arrow for the Recurved Bow.,Some arrow for the Recurved Bow.
STR_AMMO127x990,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50,12.7mm / .50
STR_AMMO127x991,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,12.7mm/.50 Grosskaliber-Munition für entsprechende Gewehre,Амуниция для оружия.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Algo de Munición para armas de fuego.,Quelques munitions pour armes à feu.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.
STR_AMMO300AAC0,.300 AAC,.300 AAC,.300 AAC,.300 AAC,.300 AAC,.300 AAC,.300 AAC,.300 AAC,.300 AAC,.300 AAC,.300 AAC,.300 AAC,.300 AAC,.300 AAC
STR_AMMO300AAC1,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,.300 AAC-Munition für entsprechende Gewehre,Амуниция для оружия.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Algo de Munición para armas de fuego.,Quelques munitions pour armes à feu.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.
STR_AMMO4080,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac,.408 Cheytac
STR_AMMO4081,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,.408 Cheytac-Munition für entsprechende Gewehre,Амуниция для оружия.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Algo de Munición para armas de fuego.,Quelques munitions pour armes à feu.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.
STR_AMMO6x350,6mm KAC,6mm KAC,6mm KAC,6mm KAC,6mm KAC,6mm KAC,6mm KAC,6mm KAC,6mm KAC,6mm KAC,6mm KAC,6mm KAC,6mm KAC,6mm KAC
